district_wise
SlNo,State_Code,State,District_Key,District,Status,Notes,Last_Updated
458,OR,Odisha,OR_Deogarh,Deogarh,,,
459,OR,Odisha,OR_Dhenkanal,Dhenkanal,,,
460,OR,Odisha,OR_Gajapati,Gajapati,,,
461,OR,Odisha,OR_Ganjam,Ganjam,,,
462,OR,Odisha,OR_Jagatsinghpur,Jagatsinghpur,,,
463,OR,Odisha,OR_Jajpur,Jajpur,,,
464,OR,Odisha,OR_Jharsuguda,Jharsuguda,,,
465,OR,Odisha,OR_Kalahandi,Kalahandi,,,
466,OR,Odisha,OR_Kandhamal,Kandhamal,,,
467,OR,Odisha,OR_Kendrapara,Kendrapara,,,
468,OR,Odisha,OR_Kendujhar,Kendujhar,,,
469,OR,Odisha,OR_Khordha,Khordha,,,
470,OR,Odisha,OR_Koraput,Koraput,,,
471,OR,Odisha,OR_Malkangiri,Malkangiri,,,
472,OR,Odisha,OR_Mayurbhanj,Mayurbhanj,,,
473,OR,Odisha,OR_Nabarangapur,Nabarangapur,,,
474,OR,Odisha,OR_Nayagarh,Nayagarh,,,
475,OR,Odisha,OR_Nuapada,Nuapada,,,
476,OR,Odisha,OR_Puri,Puri,,,
477,OR,Odisha,OR_Rayagada,Rayagada,,,
478,OR,Odisha,OR_Sambalpur,Sambalpur,,,
479,OR,Odisha,OR_Subarnapur,Subarnapur,,,
480,OR,Odisha,OR_Sundargarh,Sundargarh,,,
485,PB,Punjab,PB_Amritsar,Amritsar,,,
486,PB,Punjab,PB_Barnala,Barnala,,,
487,PB,Punjab,PB_Bathinda,Bathinda,,,
488,PB,Punjab,PB_Faridkot,Faridkot,,,
489,PB,Punjab,PB_Fatehgarh Sahib,Fatehgarh Sahib,,,
490,PB,Punjab,PB_Fazilka,Fazilka,,,
491,PB,Punjab,PB_Ferozepur,Ferozepur,,,
492,PB,Punjab,PB_Gurdaspur,Gurdaspur,,,
493,PB,Punjab,PB_Hoshiarpur,Hoshiarpur,,,
494,PB,Punjab,PB_Jalandhar,Jalandhar,,,
495,PB,Punjab,PB_Kapurthala,Kapurthala,,,
496,PB,Punjab,PB_Ludhiana,Ludhiana,,,
497,PB,Punjab,PB_Mansa,Mansa,,,
498,PB,Punjab,PB_Moga,Moga,,,
499,PB,Punjab,PB_Pathankot,Pathankot,,,
500,PB,Punjab,PB_Patiala,Patiala,,,
501,PB,Punjab,PB_Rupnagar,Rupnagar,,,
502,PB,Punjab,PB_S.A.S. Nagar,S.A.S. Nagar,,,
503,PB,Punjab,PB_Sangrur,Sangrur,,,
504,PB,Punjab,PB_Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,,,
505,PB,Punjab,PB_Sri Muktsar Sahib,Sri Muktsar Sahib,,,
506,PB,Punjab,PB_Tarn Taran,Tarn Taran,,,
481,PY,Puducherry,PY_Karaikal,Karaikal,,,
482,PY,Puducherry,PY_Mahe,Mahe,,,
483,PY,Puducherry,PY_Puducherry,Puducherry,,,
484,PY,Puducherry,PY_Yanam,Yanam,,,
507,RJ,Rajasthan,RJ_Ajmer,Ajmer,,,
508,RJ,Rajasthan,RJ_Alwar,Alwar,,,
509,RJ,Rajasthan,RJ_Banswara,Banswara,,,
510,RJ,Rajasthan,RJ_Baran,Baran,,,
511,RJ,Rajasthan,RJ_Barmer,Barmer,,,
512,RJ,Rajasthan,RJ_Bharatpur,Bharatpur,,,
513,RJ,Rajasthan,RJ_Bhilwara,Bhilwara,,,
514,RJ,Rajasthan,RJ_Bikaner,Bikaner,,,
0,RJ,Rajasthan,RJ_BSF Camp,BSF Camp,,,
515,RJ,Rajasthan,RJ_Bundi,Bundi,,,
516,RJ,Rajasthan,RJ_Chittorgarh,Chittorgarh,,,
517,RJ,Rajasthan,RJ_Churu,Churu,,,
518,RJ,Rajasthan,RJ_Dausa,Dausa,,,
519,RJ,Rajasthan,RJ_Dholpur,Dholpur,,,
520,RJ,Rajasthan,RJ_Dungarpur,Dungarpur,,,
0,RJ,Rajasthan,RJ_Evacuees,Evacuees,,,
521,RJ,Rajasthan,RJ_Ganganagar,Ganganagar,,,
522,RJ,Rajasthan,RJ_Hanumangarh,Hanumangarh,,,
0,RJ,Rajasthan,RJ_Italians,Italians,,,
523,RJ,Rajasthan,RJ_Jaipur,Jaipur,,,
524,RJ,Rajasthan,RJ_Jaisalmer,Jaisalmer,,,
525,RJ,Rajasthan,RJ_Jalore,Jalore,,,
526,RJ,Rajasthan,RJ_Jhalawar,Jhalawar,,,
527,RJ,Rajasthan,RJ_Jhunjhunu,Jhunjhunu,,,
528,RJ,Rajasthan,RJ_Jodhpur,Jodhpur,,,
529,RJ,Rajasthan,RJ_Karauli,Karauli,,,
530,RJ,Rajasthan,RJ_Kota,Kota,,,
531,RJ,Rajasthan,RJ_Nagaur,Nagaur,,,
0,RJ,Rajasthan,RJ_Other State,Other State,,,
532,RJ,Rajasthan,RJ_Pali,Pali,,,
533,RJ,Rajasthan,RJ_Pratapgarh,Pratapgarh,,,
534,RJ,Rajasthan,RJ_Rajsamand,Rajsamand,,,
535,RJ,Rajasthan,RJ_Sawai Madhopur,Sawai Madhopur,,,
536,RJ,Rajasthan,RJ_Sikar,Sikar,,,
537,RJ,Rajasthan,RJ_Sirohi,Sirohi,,,
538,RJ,Rajasthan,RJ_Tonk,Tonk,,,
539,RJ,Rajasthan,RJ_Udaipur,Udaipur,,,
540,SK,Sikkim,SK_East Sikkim,East Sikkim,,,
541,SK,Sikkim,SK_North Sikkim,North Sikkim,,,
542,SK,Sikkim,SK_South Sikkim,South Sikkim,,,
543,SK,Sikkim,SK_West Sikkim,West Sikkim,,,
0,TG,Telangana,TG_Foreign Evacuees,Foreign Evacuees,,,
0,TG,Telangana,TG_Other State,Other State,,,
576,TG,Telangana,TG_Adilabad,Adilabad,,,
577,TG,Telangana,TG_Bhadradri Kothagudem,Bhadradri Kothagudem,,,
578,TG,Telangana,TG_Hyderabad,Hyderabad,,,
579,TG,Telangana,TG_Jagtial,Jagtial,,,
580,TG,Telangana,TG_Jangaon,Jangaon,,,
581,TG,Telangana,TG_Jayashankar Bhupalapally,Jayashankar Bhupalapally,,,
582,TG,Telangana,TG_Jogulamba Gadwal,Jogulamba Gadwal,,,
583,TG,Telangana,TG_Kamareddy,Kamareddy,,,
584,TG,Telangana,TG_Karimnagar,Karimnagar,,,
585,TG,Telangana,TG_Khammam,Khammam,,,
586,TG,Telangana,TG_Komaram Bheem,Komaram Bheem,,,
587,TG,Telangana,TG_Mahabubabad,Mahabubabad,,,
588,TG,Telangana,TG_Mahabubnagar,Mahabubnagar,,,
589,TG,Telangana,TG_Mancherial,Mancherial,,,
590,TG,Telangana,TG_Medak,Medak,,,
591,TG,Telangana,TG_Medchal Malkajgiri,Medchal Malkajgiri,,,
592,TG,Telangana,TG_Mulugu,Mulugu,,,
593,TG,Telangana,TG_Nagarkurnool,Nagarkurnool,,,
594,TG,Telangana,TG_Nalgonda,Nalgonda,,,
595,TG,Telangana,TG_Narayanpet,Narayanpet,,,
596,TG,Telangana,TG_Nirmal,Nirmal,,,
597,TG,Telangana,TG_Nizamabad,Nizamabad,,,
598,TG,Telangana,TG_Peddapalli,Peddapalli,,,
599,TG,Telangana,TG_Rajanna Sircilla,Rajanna Sircilla,,,
600,TG,Telangana,TG_Ranga Reddy,Ranga Reddy,,,
601,TG,Telangana,TG_Sangareddy,Sangareddy,,,
602,TG,Telangana,TG_Siddipet,Siddipet,,,
603,TG,Telangana,TG_Suryapet,Suryapet,,,
604,TG,Telangana,TG_Vikarabad,Vikarabad,,,
605,TG,Telangana,TG_Wanaparthy,Wanaparthy,,,
606,TG,Telangana,TG_Warangal Rural,Warangal Rural,,,
607,TG,Telangana,TG_Warangal Urban,Warangal Urban,,,
608,TG,Telangana,TG_Yadadri Bhuvanagiri,Yadadri Bhuvanagiri,,,
0,TN,Tamil Nadu,TN_Railway Quarantine,Railway Quarantine,,,
0,TN,Tamil Nadu,TN_Airport Quarantine,Airport Quarantine,,,
0,TN,Tamil Nadu,TN_Other State,Other State,,,
544,TN,Tamil Nadu,TN_Ariyalur,Ariyalur,,,
732,TN,Tamil Nadu,TN_Chengalpattu,Chengalpattu,,,
545,TN,Tamil Nadu,TN_Chennai,Chennai,,,
546,TN,Tamil Nadu,TN_Coimbatore,Coimbatore,,,
547,TN,Tamil Nadu,TN_Cuddalore,Cuddalore,,,
548,TN,Tamil Nadu,TN_Dharmapuri,Dharmapuri,,,
549,TN,Tamil Nadu,TN_Dindigul,Dindigul,,,
550,TN,Tamil Nadu,TN_Erode,Erode,,,
734,TN,Tamil Nadu,TN_Kallakurichi,Kallakurichi,,,
551,TN,Tamil Nadu,TN_Kancheepuram,Kancheepuram,,,
552,TN,Tamil Nadu,TN_Kanyakumari,Kanyakumari,,,
553,TN,Tamil Nadu,TN_Karur,Karur,,,
554,TN,Tamil Nadu,TN_Krishnagiri,Krishnagiri,,,
555,TN,Tamil Nadu,TN_Madurai,Madurai,,,
556,TN,Tamil Nadu,TN_Nagapattinam,Nagapattinam,,,
557,TN,Tamil Nadu,TN_Namakkal,Namakkal,,,
564,TN,Tamil Nadu,TN_Nilgiris,Nilgiris,,,
558,TN,Tamil Nadu,TN_Perambalur,Perambalur,,,
559,TN,Tamil Nadu,TN_Pudukkottai,Pudukkottai,,,
560,TN,Tamil Nadu,TN_Ramanathapuram,Ramanathapuram,,,
733,TN,Tamil Nadu,TN_Ranipet,Ranipet,,,
561,TN,Tamil Nadu,TN_Salem,Salem,,,
562,TN,Tamil Nadu,TN_Sivaganga,Sivaganga,,,
731,TN,Tamil Nadu,TN_Tenkasi,Tenkasi,,,
563,TN,Tamil Nadu,TN_Thanjavur,Thanjavur,,,
565,TN,Tamil Nadu,TN_Theni,Theni,,,
566,TN,Tamil Nadu,TN_Thiruvallur,Thiruvallur,,,
567,TN,Tamil Nadu,TN_Thiruvarur,Thiruvarur,,,
568,TN,Tamil Nadu,TN_Thoothukkudi,Thoothukkudi,,,
569,TN,Tamil Nadu,TN_Tiruchirappalli,Tiruchirappalli,,,
570,TN,Tamil Nadu,TN_Tirunelveli,Tirunelveli,,,
735,TN,Tamil Nadu,TN_Tirupathur,Tirupathur,,,
571,TN,Tamil Nadu,TN_Tiruppur,Tiruppur,,,
572,TN,Tamil Nadu,TN_Tiruvannamalai,Tiruvannamalai,,,
573,TN,Tamil Nadu,TN_Vellore,Vellore,,,
574,TN,Tamil Nadu,TN_Viluppuram,Viluppuram,,,
575,TN,Tamil Nadu,TN_Virudhunagar,Virudhunagar,,,
609,TR,Tripura,TR_Dhalai,Dhalai,,,
610,TR,Tripura,TR_Gomati,Gomati,,,
611,TR,Tripura,TR_Khowai,Khowai,,,
612,TR,Tripura,TR_North Tripura,North Tripura,,,
613,TR,Tripura,TR_Sipahijala,Sipahijala,,,
614,TR,Tripura,TR_South Tripura,South Tripura,,,
615,TR,Tripura,TR_Unokoti,Unokoti,,,
616,TR,Tripura,TR_West Tripura,West Tripura,,,
617,UP,Uttar Pradesh,UP_Agra,Agra,,,
618,UP,Uttar Pradesh,UP_Aligarh,Aligarh,,,
619,UP,Uttar Pradesh,UP_Ambedkar Nagar,Ambedkar Nagar,,,
620,UP,Uttar Pradesh,UP_Amethi,Amethi,,,
621,UP,Uttar Pradesh,UP_Amroha,Amroha,,,
622,UP,Uttar Pradesh,UP_Auraiya,Auraiya,,,
765,UP,Uttar Pradesh,UP_Ayodhya,Ayodhya,,,
623,UP,Uttar Pradesh,UP_Azamgarh,Azamgarh,,,
624,UP,Uttar Pradesh,UP_Baghpat,Baghpat,,,
625,UP,Uttar Pradesh,UP_Bahraich,Bahraich,,,
626,UP,Uttar Pradesh,UP_Ballia,Ballia,,,
627,UP,Uttar Pradesh,UP_Balrampur,Balrampur,,,
628,UP,Uttar Pradesh,UP_Banda,Banda,,,
629,UP,Uttar Pradesh,UP_Barabanki,Barabanki,,,
630,UP,Uttar Pradesh,UP_Bareilly,Bareilly,,,
631,UP,Uttar Pradesh,UP_Basti,Basti,,,
632,UP,Uttar Pradesh,UP_Bhadohi,Bhadohi,,,
633,UP,Uttar Pradesh,UP_Bijnor,Bijnor,,,
634,UP,Uttar Pradesh,UP_Budaun,Budaun,,,
635,UP,Uttar Pradesh,UP_Bulandshahr,Bulandshahr,,,
636,UP,Uttar Pradesh,UP_Chandauli,Chandauli,,,
637,UP,Uttar Pradesh,UP_Chitrakoot,Chitrakoot,,,
638,UP,Uttar Pradesh,UP_Deoria,Deoria,,,
639,UP,Uttar Pradesh,UP_Etah,Etah,,,
640,UP,Uttar Pradesh,UP_Etawah,Etawah,,,
642,UP,Uttar Pradesh,UP_Farrukhabad,Farrukhabad,,,
643,UP,Uttar Pradesh,UP_Fatehpur,Fatehpur,,,
644,UP,Uttar Pradesh,UP_Firozabad,Firozabad,,,
645,UP,Uttar Pradesh,UP_Gautam Buddha Nagar,Gautam Buddha Nagar,,,
646,UP,Uttar Pradesh,UP_Ghaziabad,Ghaziabad,,,
647,UP,Uttar Pradesh,UP_Ghazipur,Ghazipur,,,
648,UP,Uttar Pradesh,UP_Gonda,Gonda,,,
649,UP,Uttar Pradesh,UP_Gorakhpur,Gorakhpur,,,
650,UP,Uttar Pradesh,UP_Hamirpur,Hamirpur,,,
651,UP,Uttar Pradesh,UP_Hapur,Hapur,,,
652,UP,Uttar Pradesh,UP_Hardoi,Hardoi,,,
653,UP,Uttar Pradesh,UP_Hathras,Hathras,,,
654,UP,Uttar Pradesh,UP_Jalaun,Jalaun,,,
655,UP,Uttar Pradesh,UP_Jaunpur,Jaunpur,,,
656,UP,Uttar Pradesh,UP_Jhansi,Jhansi,,,
657,UP,Uttar Pradesh,UP_Kannauj,Kannauj,,,
658,UP,Uttar Pradesh,UP_Kanpur Dehat,Kanpur Dehat,,,
659,UP,Uttar Pradesh,UP_Kanpur Nagar,Kanpur Nagar,,,
660,UP,Uttar Pradesh,UP_Kasganj,Kasganj,,,
661,UP,Uttar Pradesh,UP_Kaushambi,Kaushambi,,,
663,UP,Uttar Pradesh,UP_Kushinagar,Kushinagar,,,
662,UP,Uttar Pradesh,UP_Lakhimpur Kheri,Lakhimpur Kheri,,,
664,UP,Uttar Pradesh,UP_Lalitpur,Lalitpur,,,
665,UP,Uttar Pradesh,UP_Lucknow,Lucknow,,,
667,UP,Uttar Pradesh,UP_Maharajganj,Maharajganj,,,
666,UP,Uttar Pradesh,UP_Mahoba,Mahoba,,,
668,UP,Uttar Pradesh,UP_Mainpuri,Mainpuri,,,
669,UP,Uttar Pradesh,UP_Mathura,Mathura,,,
670,UP,Uttar Pradesh,UP_Mau,Mau,,,
671,UP,Uttar Pradesh,UP_Meerut,Meerut,,,
672,UP,Uttar Pradesh,UP_Mirzapur,Mirzapur,,,
673,UP,Uttar Pradesh,UP_Moradabad,Moradabad,,,
674,UP,Uttar Pradesh,UP_Muzaffarnagar,Muzaffarnagar,,,
675,UP,Uttar Pradesh,UP_Pilibhit,Pilibhit,,,
676,UP,Uttar Pradesh,UP_Pratapgarh,Pratapgarh,,,
677,UP,Uttar Pradesh,UP_Prayagraj,Prayagraj,,,
678,UP,Uttar Pradesh,UP_Rae Bareli,Rae Bareli,,,
679,UP,Uttar Pradesh,UP_Rampur,Rampur,,,
680,UP,Uttar Pradesh,UP_Saharanpur,Saharanpur,,,
681,UP,Uttar Pradesh,UP_Sambhal,Sambhal,,,
682,UP,Uttar Pradesh,UP_Sant Kabir Nagar,Sant Kabir Nagar,,,
683,UP,Uttar Pradesh,UP_Shahjahanpur,Shahjahanpur,,,
684,UP,Uttar Pradesh,UP_Shamli,Shamli,,,
685,UP,Uttar Pradesh,UP_Shrawasti,Shrawasti,,,
686,UP,Uttar Pradesh,UP_Siddharthnagar,Siddharthnagar,,,
687,UP,Uttar Pradesh,UP_Sitapur,Sitapur,,,
688,UP,Uttar Pradesh,UP_Sonbhadra,Sonbhadra,,,
689,UP,Uttar Pradesh,UP_Sultanpur,Sultanpur,,,
690,UP,Uttar Pradesh,UP_Unnao,Unnao,,,
691,UP,Uttar Pradesh,UP_Varanasi,Varanasi,,,
692,UT,Uttarakhand,UT_Almora,Almora,,,
693,UT,Uttarakhand,UT_Bageshwar,Bageshwar,,,
694,UT,Uttarakhand,UT_Chamoli,Chamoli,,,
695,UT,Uttarakhand,UT_Champawat,Champawat,,,
696,UT,Uttarakhand,UT_Dehradun,Dehradun,,,
697,UT,Uttarakhand,UT_Haridwar,Haridwar,,,
698,UT,Uttarakhand,UT_Nainital,Nainital,,,
699,UT,Uttarakhand,UT_Pauri Garhwal,Pauri Garhwal,,,
700,UT,Uttarakhand,UT_Pithoragarh,Pithoragarh,,,
701,UT,Uttarakhand,UT_Rudraprayag,Rudraprayag,,,
702,UT,Uttarakhand,UT_Tehri Garhwal,Tehri Garhwal,,,
703,UT,Uttarakhand,UT_Udham Singh Nagar,Udham Singh Nagar,,,
704,UT,Uttarakhand,UT_Uttarkashi,Uttarkashi,,,
705,WB,West Bengal,WB_Alipurduar,Alipurduar,,,
706,WB,West Bengal,WB_Bankura,Bankura,,,
707,WB,West Bengal,WB_Birbhum,Birbhum,,,
708,WB,West Bengal,WB_Cooch Behar,Cooch Behar,,,
709,WB,West Bengal,WB_Dakshin Dinajpur,Dakshin Dinajpur,,,
710,WB,West Bengal,WB_Darjeeling,Darjeeling,,,
711,WB,West Bengal,WB_Hooghly,Hooghly,,,
712,WB,West Bengal,WB_Howrah,Howrah,,,
713,WB,West Bengal,WB_Jalpaiguri,Jalpaiguri,,,
714,WB,West Bengal,WB_Jhargram,Jhargram,,,
715,WB,West Bengal,WB_Kalimpong,Kalimpong,,,
716,WB,West Bengal,WB_Kolkata,Kolkata,,,
717,WB,West Bengal,WB_Malda,Malda,,,
719,WB,West Bengal,WB_Murshidabad,Murshidabad,,,
720,WB,West Bengal,WB_Nadia,Nadia,,,
721,WB,West Bengal,WB_North 24 Parganas,North 24 Parganas,,,
0,WB,West Bengal,WB_Other State,Other State,,,
722,WB,West Bengal,WB_Paschim Bardhaman,Paschim Bardhaman,,,
718,WB,West Bengal,WB_Paschim Medinipur,Paschim Medinipur,,,
723,WB,West Bengal,WB_Purba Bardhaman,Purba Bardhaman,,,
724,WB,West Bengal,WB_Purba Medinipur,Purba Medinipur,,,
725,WB,West Bengal,WB_Purulia,Purulia,,,
726,WB,West Bengal,WB_South 24 Parganas,South 24 Parganas,,,
727,WB,West Bengal,WB_Uttar Dinajpur,Uttar Dinajpur,,,
728,AN,Andaman and Nicobar Islands,AN_Unknown,Unknown,,,
729,AP,Andhra Pradesh,AP_Unknown,Unknown,,,
730,AR,Arunachal Pradesh,AR_Unknown,Unknown,,,
731,AS,Assam,AS_Unknown,Unknown,,,
732,BR,Bihar,BR_Unknown,Unknown,,,
733,CH,Chandigarh,CH_Unknown,Unknown,,,
734,CT,Chhattisgarh,CT_Unknown,Unknown,,,
735,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Unknown,Unknown,,,
737,DL,Delhi,DL_Unknown,Unknown,,,
738,GA,Goa,GA_Unknown,Unknown,,,
739,GJ,Gujarat,GJ_Unknown,Unknown,,,
740,HR,Haryana,HR_Unknown,Unknown,,,
741,HP,Himachal Pradesh,HP_Unknown,Unknown,,,
742,JK,Jammu and Kashmir,JK_Unknown,Unknown,,,
743,JH,Jharkhand,JH_Unknown,Unknown,,,
744,KA,Karnataka,KA_Unknown,Unknown,,,
745,KL,Kerala,KL_Unknown,Unknown,,,
746,LA,Ladakh,LA_Unknown,Unknown,,,
747,LD,Lakshadweep,LD_Unknown,Unknown,,,
748,MP,Madhya Pradesh,MP_Unknown,Unknown,,,
749,MH,Maharashtra,MH_Unknown,Unknown,,,
750,MN,Manipur,MN_Unknown,Unknown,,,
751,ML,Meghalaya,ML_Unknown,Unknown,,,
752,MZ,Mizoram,MZ_Unknown,Unknown,,,
753,NL,Nagaland,NL_Unknown,Unknown,,,
754,OR,Odisha,OR_Unknown,Unknown,,,
755,PY,Puducherry,PY_Unknown,Unknown,,,
756,PB,Punjab,PB_Unknown,Unknown,,,
757,RJ,Rajasthan,RJ_Unknown,Unknown,,,
758,SK,Sikkim,SK_Unknown,Unknown,,,
759,TN,Tamil Nadu,TN_Unknown,Unknown,,,
760,TG,Telangana,TG_Unknown,Unknown,,,
761,TR,Tripura,TR_Unknown,Unknown,,,
762,UP,Uttar Pradesh,UP_Unknown,Unknown,,,
763,UT,Uttarakhand,UT_Unknown,Unknown,,,
764,WB,West Bengal,WB_Unknown,Unknown,,,
